Winning Team,Full Time Home Goals,Half  Time Home Goals,Home Shots,Home Shots on Target,Home Hit Woodwork,Home Corners,Home Fouls Committed,Home Offsides,Home Yellow Cards,Home Red Cards
Everton,2,0,12,9,0,4,17,1,3,0
Bolton,5,4,18,8,0,5,17,0,3,0
Arsenal,4,1,14,9,0,6,19,0,3,1
Leeds,2,1,5,2,0,2,29,2,5,2
Charlton,1,0,13,6,0,1,20,7,6,0
Chelsea,2,1,7,2,0,2,18,5,1,0
Aston Villa,3,1,10,7,0,0,14,2,1,0
Newcastle,4,1,8,5,0,3,17,4,3,0
Southampton,1,0,10,6,0,2,19,4,1,0
Leicester,3,1,12,6,1,8,23,1,3,0
Liverpool,3,2,13,9,0,2,13,2,1,0
Arsenal,3,1,11,6,0,5,20,0,4,0
Leeds,2,1,20,9,1,9,14,1,1,0
Chelsea,3,1,6,4,0,6,12,3,4,1
Middlesbrough,2,0,13,6,2,2,15,3,1,0
Tottenham,2,1,13,6,0,4,14,3,2,0
Aston Villa,3,2,11,5,1,3,18,4,2,1
Sunderland,2,0,14,7,0,4,13,11,1,0
Arsenal,2,1,11,6,0,5,19,3,3,1
Southampton,3,0,8,4,1,0,17,3,1,0
Man United,5,0,18,9,0,7,10,2,3,0
Leeds,2,0,11,7,0,8,8,11,1,0
Liverpool,2,1,6,2,0,0,23,5,4,0
Newcastle,4,1,15,8,1,8,9,6,2,0
Arsenal,2,1,21,8,2,6,9,7,1,0
Man United,3,1,13,8,2,4,15,8,0,0
Liverpool,4,3,12,6,0,6,13,1,2,0
Bolton,2,1,7,2,0,0,6,7,0,0
Tottenham,2,2,9,3,1,2,10,3,1,0
Liverpool,2,2,5,4,0,1,13,5,1,1
Newcastle,3,1,6,4,0,3,15,1,2,0
West Ham,3,1,12,4,1,9,11,2,2,0
Blackburn,2,1,6,5,0,4,18,5,1,0
Fulham,2,1,14,6,0,8,18,0,3,0
Charlton,4,2,9,4,1,6,11,6,2,0
Bolton,2,2,10,5,0,2,16,1,2,0
Tottenham,1,0,10,3,3,2,13,15,2,0
Leicester,2,1,6,4,0,8,14,3,4,0
Middlesbrough,1,1,8,5,0,3,9,2,2,0
Liverpool,1,1,7,5,0,9,14,5,2,0
Arsenal,2,1,7,3,0,5,9,3,2,0
Chelsea,3,1,14,5,1,2,16,4,3,0
Charlton,1,0,11,5,0,1,10,4,1,0
Southampton,4,1,10,5,0,4,15,5,0,0
West Ham,1,0,8,4,0,4,8,1,3,0
Leeds,2,0,10,7,0,7,18,8,5,0
Newcastle,1,1,7,5,0,2,3,1,1,0
Man United,1,0,14,5,0,8,14,0,3,0
Newcastle,3,0,4,3,0,4,19,4,3,1
Blackburn,2,0,7,4,0,3,19,6,3,0
Newcastle,4,1,13,7,0,9,17,2,1,0
Ipswich,2,1,12,4,0,5,16,5,2,0
Arsenal,2,1,11,3,0,4,20,2,4,1
Liverpool,2,1,12,6,1,3,9,3,0,0
Sunderland,3,2,13,7,2,5,23,4,2,0
Leeds,3,2,8,5,1,2,20,5,3,0
Man United,2,0,11,7,0,11,12,2,1,0
Derby,1,1,7,5,0,4,20,5,4,0
Charlton,3,1,8,4,0,6,12,2,3,0
Chelsea,2,2,12,8,0,3,21,1,3,0
Leeds,1,0,13,7,1,5,15,5,1,0
Man United,3,2,19,10,0,3,8,3,2,0
Southampton,4,1,8,5,0,6,18,10,1,0
Fulham,1,0,8,4,0,3,7,5,2,0
Man United,3,2,11,7,1,6,8,1,1,0
Ipswich,3,0,13,5,1,3,16,0,2,0
Aston Villa,2,2,7,3,0,2,11,7,1,0
Liverpool,1,0,9,5,0,2,16,1,2,0
Arsenal,3,2,13,8,1,7,9,2,0,0
Man United,4,2,21,12,1,9,9,4,0,0
Middlesbrough,1,1,6,2,0,3,13,3,2,1
Arsenal,3,2,9,5,0,2,21,7,2,1
Newcastle,3,0,10,4,0,4,5,2,1,0
Ipswich,2,2,5,3,0,4,16,0,0,0
Chelsea,3,0,9,5,0,2,17,1,3,0
Liverpool,4,1,11,7,1,6,9,0,1,0
Sunderland,1,0,8,4,0,8,15,8,1,0
Liverpool,6,2,14,11,0,9,4,4,0,0
Man United,2,1,10,5,0,5,9,2,1,0
Arsenal,1,0,6,3,0,5,20,6,5,0
Derby,3,0,5,4,0,2,15,0,2,0
Newcastle,1,0,13,5,1,11,16,1,1,0
Liverpool,2,1,10,4,0,4,14,3,2,0
Southampton,3,0,5,4,0,3,5,0,1,0
Arsenal,2,2,9,6,0,8,17,4,1,0
Derby,3,1,3,2,1,3,13,4,0,0
Liverpool,2,1,8,7,0,3,12,7,2,0
Man United,5,2,14,9,0,3,8,2,2,0
Arsenal,2,0,6,3,0,2,12,5,2,0
Charlton,1,0,10,4,0,6,13,3,0,0
